year,medicaid_rx,non_medicaid_rx,total_rx,pct_medicaid,pct_non_medicaid
1997,,138944733.371,138944733.371,,100.0
1998,,148428304.361,148428304.361,,100.0
1999,,160250100.94399998,160250100.94399998,,100.0
2000,,169433693.30299997,169433693.30299997,,100.0
2001,,178601714.078,178601714.078,,100.0
2002,,189174684.345,189174684.345,,100.0
2003,,198596263.088,198596263.088,,100.0
2004,,208032513.48300004,208032513.48300004,,100.0
2005,,213781826.06800002,213781826.06800002,,100.0
2006,,225883837.874,225883837.874,,100.0
2007,,237426025.43,237426025.43,,100.0
2008,18583365.643,227572349.68,246155715.323,7.55,92.45
2009,20129095.226000004,231322650.37200004,251451745.59800005,8.01,91.99
2010,24023362.852,234363813.51700002,258387176.36900002,9.3,90.7
2011,22875955.928000003,236307004.625,259182960.553,8.83,91.17
2012,16931902.881,244685097.81300002,261617000.69400004,6.47,93.53
2013,13761303.149,239137137.899,252898441.04799998,5.44,94.56
2014,13525447.28,231894089.414,245419536.694,5.51,94.49
2015,11271444.324000001,217247539.574,228518983.898,4.93,95.07
2016,9563449.382,207287491.519,216850940.901,4.41,95.59
2017,7805454.006,189011463.90899998,196816917.915,3.97,96.03
2018,2146930.074,56949862.910000004,59096792.984000005,3.63,96.37
